Series ID,A2390558X,A2390417V,A2390462F,A2390507X,A2390561L,A2390606F,A2390651T,A2390559A,A2390418W,A2390463J,A2390508A,A2390562R,A2390607J,A2390652V
Dec-2001,73.9,75.0,77.1,72.5,72.7,70.2,68.5,0.4,0.7,0.1,0.4,1.3,0.0,0.3
Mar-2002,74.5,75.5,77.2,73.8,73.2,70.2,69.0,0.8,0.7,0.1,1.8,0.7,0.0,0.7
Jun-2002,75.5,76.5,78.3,74.7,74.4,71.3,69.7,1.3,1.3,1.4,1.2,1.6,1.6,1.0
Sep-2002,76.1,76.9,78.7,75.8,75.2,71.9,70.6,0.8,0.5,0.5,1.5,1.1,0.8,1.3
Dec-2002,76.8,78.0,79.3,76.4,75.6,72.5,71.2,0.9,1.4,0.8,0.8,0.5,0.8,0.8
Mar-2003,77.3,78.8,79.7,76.6,76.1,72.8,72.3,0.7,1.0,0.5,0.3,0.7,0.4,1.5
Jun-2003,78.0,79.6,80.3,77.9,76.4,73.1,72.9,0.9,1.0,0.8,1.7,0.4,0.4,0.8
Sep-2003,78.5,80.3,80.6,78.5,76.8,73.5,73.4,0.6,0.9,0.4,0.8,0.5,0.5,0.7
Dec-2003,78.9,81.0,80.8,78.8,76.7,73.9,73.9,0.5,0.9,0.2,0.4,-0.1,0.5,0.7
Mar-2004,79.4,81.4,81.3,79.4,77.3,74.4,75.4,0.6,0.5,0.6,0.8,0.8,0.7,2.0
Jun-2004,80.4,82.3,82.1,80.9,78.6,75.2,76.5,1.3,1.1,1.0,1.9,1.7,1.1,1.5
Sep-2004,81.0,82.7,82.7,81.7,79.4,75.9,78.1,0.7,0.5,0.7,1.0,1.0,0.9,2.1
Dec-2004,81.7,83.3,83.1,82.4,79.9,76.8,79.1,0.9,0.7,0.5,0.9,0.6,1.2,1.3
Mar-2005,82.3,84.0,83.7,82.6,80.4,77.7,79.8,0.7,0.8,0.7,0.2,0.6,1.2,0.9
Jun-2005,83.0,84.8,84.0,83.5,80.9,79.1,80.7,0.9,1.0,0.4,1.1,0.6,1.8,1.1
Sep-2005,83.3,84.9,84.3,83.8,81.1,79.5,81.5,0.4,0.1,0.4,0.4,0.2,0.5,1.0
Dec-2005,83.6,84.9,84.7,84.3,81.3,79.7,80.5,0.4,0.0,0.5,0.6,0.2,0.3,-1.2
Mar-2006,83.9,85.1,85.0,84.8,81.4,80.3,80.7,0.4,0.2,0.4,0.6,0.1,0.8,0.2
Jun-2006,84.7,86.4,85.5,85.6,82.0,81.4,81.3,1.0,1.5,0.6,0.9,0.7,1.4,0.7
Sep-2006,86.0,87.3,87.3,85.9,83.1,83.3,82.8,1.5,1.0,2.1,0.4,1.3,2.3,1.8
Dec-2006,86.6,87.0,87.6,87.4,84.0,84.8,83.0,0.7,-0.3,0.3,1.7,1.1,1.8,0.2
Mar-2007,87.0,87.5,87.8,87.6,83.8,85.7,84.0,0.5,0.6,0.2,0.2,-0.2,1.1,1.2
Jun-2007,87.6,88.1,88.4,88.3,84.0,86.1,85.5,0.7,0.7,0.7,0.8,0.2,0.5,1.8
Sep-2007,88.3,88.3,89.2,89.0,84.9,87.3,86.7,0.8,0.2,0.9,0.8,1.1,1.4,1.4
Dec-2007,89.1,89.3,89.7,90.3,85.5,87.9,87.1,0.9,1.1,0.6,1.5,0.7,0.7,0.5
Mar-2008,90.2,89.7,90.9,91.6,85.9,89.7,88.0,1.2,0.4,1.3,1.4,0.5,2.0,1.0
Jun-2008,91.6,91.4,92.2,92.9,87.6,90.9,89.7,1.6,1.9,1.4,1.4,2.0,1.3,1.9
Sep-2008,94.0,92.5,94.5,95.1,91.9,94.7,91.9,2.6,1.2,2.5,2.4,4.9,4.2,2.5
Dec-2008,95.3,94.3,95.3,96.6,94.1,95.8,93.2,1.4,1.9,0.8,1.6,2.4,1.2,1.4
Mar-2009,96.5,95.7,96.3,97.9,95.1,97.0,95.1,1.3,1.5,1.0,1.3,1.1,1.3,2.0
Jun-2009,96.9,96.6,97.2,96.5,96.2,97.4,95.7,0.4,0.9,0.9,-1.4,1.2,0.4,0.6
Sep-2009,96.2,94.6,97.2,96.0,94.3,97.0,95.9,-0.7,-2.1,0.0,-0.5,-2.0,-0.4,0.2
Dec-2009,96.2,95.6,96.3,97.0,94.4,96.6,95.4,0.0,1.1,-0.9,1.0,0.1,-0.4,-0.5
Mar-2010,96.5,95.7,96.6,97.4,94.3,97.0,96.1,0.3,0.1,0.3,0.4,-0.1,0.4,0.7
Jun-2010,97.5,97.1,98.0,98.0,94.9,97.7,97.0,1.0,1.5,1.4,0.6,0.6,0.7,0.9
Sep-2010,97.9,97.2,98.1,99.5,95.4,97.8,97.0,0.4,0.1,0.1,1.5,0.5,0.1,0.0
Dec-2010,98.5,97.8,98.5,100.1,96.5,98.3,98.7,0.6,0.6,0.4,0.6,1.2,0.5,1.8
Mar-2011,98.6,98.3,98.7,99.2,96.9,98.4,99.2,0.1,0.5,0.2,-0.9,0.4,0.1,0.5
Jun-2011,99.7,99.9,99.9,99.9,98.5,99.5,98.3,1.1,1.6,1.2,0.7,1.7,1.1,-0.9
Sep-2011,99.9,99.7,100.5,99.7,99.2,99.5,99.4,0.2,-0.2,0.6,-0.2,0.7,0.0,1.1
Dec-2011,100.0,100.2,100.0,100.0,99.7,99.7,99.6,0.1,0.5,-0.5,0.3,0.5,0.2,0.2
Mar-2012,99.9,99.8,99.8,100.0,100.4,99.7,99.6,-0.1,-0.4,-0.2,0.0,0.7,0.0,0.0
Jun-2012,100.3,100.3,99.7,100.3,100.7,101.1,101.5,0.4,0.5,-0.1,0.3,0.3,1.4,1.9
Sep-2012,100.9,100.8,100.6,100.7,101.4,101.4,102.3,0.6,0.5,0.9,0.4,0.7,0.3,0.8
Dec-2012,101.2,101.0,100.9,101.3,101.5,102.0,102.4,0.3,0.2,0.3,0.6,0.1,0.6,0.1
Mar-2013,101.3,101.1,100.7,102.0,101.6,102.0,101.4,0.1,0.1,-0.2,0.7,0.1,0.0,-1.0
Jun-2013,101.5,101.5,100.9,101.6,101.6,102.7,101.5,0.2,0.4,0.2,-0.4,0.0,0.7,0.1
Sep-2013,101.6,101.5,101.0,102.1,102.0,101.9,102.2,0.1,0.0,0.1,0.5,0.4,-0.8,0.7
Dec-2013,101.9,102.3,101.0,102.9,102.5,102.1,102.8,0.3,0.8,0.0,0.8,0.5,0.2,0.6
Mar-2014,102.3,102.6,101.8,102.9,103.1,102.4,102.0,0.4,0.3,0.8,0.0,0.6,0.3,-0.8
Jun-2014,103.9,104.0,103.2,104.4,104.3,104.7,102.2,1.6,1.4,1.4,1.5,1.2,2.2,0.2
Sep-2014,104.7,105.6,103.9,105.3,104.6,104.9,103.0,0.8,1.5,0.7,0.9,0.3,0.2,0.8
Dec-2014,104.8,105.3,103.8,106.5,104.7,105.1,103.0,0.1,-0.3,-0.1,1.1,0.1,0.2,0.0
Mar-2015,105.7,106.2,104.9,106.8,105.4,106.0,103.9,0.9,0.9,1.1,0.3,0.7,0.9,0.9
Jun-2015,107.5,107.3,107.2,108.9,106.9,107.3,105.0,1.7,1.0,2.2,2.0,1.4,1.2,1.1
Sep-2015,108.0,107.3,108.1,109.5,107.9,107.5,104.1,0.5,0.0,0.8,0.6,0.9,0.2,-0.9
Dec-2015,108.6,109.5,108.3,110.0,109.0,107.5,105.0,0.6,2.1,0.2,0.5,1.0,0.0,0.9
Mar-2016,109.1,109.8,108.8,111.0,108.5,107.8,106.3,0.5,0.3,0.5,0.9,-0.5,0.3,1.2
